Product,Raw Material (kg CO2),Weaving (kg CO2),Dyeing (kWh),Finishing (Litres H2O),Energy Used (kWh),Water Used (Litres),CO2 Used (kg),Sustainability Grade
Security Guard Blazer,2.0,3.9,4.4,731,15.7,907,9.0,B
Trail Running Shorts,0.9,1.3,2.0,319,6.8,361,4.1,A
Compression Tights,1.0,2.7,3.8,563,11.4,609,7.4,B
Waterproof Parka,4.2,6.4,9.4,1388,29.5,1845,18.2,D
Compression Tights,1.3,2.6,3.3,508,10.5,667,6.3,B
Police Patrol Shirt,1.2,2.2,3.3,483,8.7,480,5.8,A
Hiking Shell Jacket,2.2,3.3,5.0,875,15.7,976,8.8,B
Training Tracksuit,2.7,4.4,6.1,962,21.3,1246,12.7,C
Industrial Work Shirt,0.9,2.0,3.1,364,8.2,443,6.7,A
Cabin Crew Jacket,1.9,3.4,4.7,808,15.4,918,9.8,B
Lightweight Running Shoes,1.4,1.1,1.8,378,13.9,477,5.7,A
Trail Running Shorts,0.6,1.5,2.6,331,7.8,506,5.1,A
Insulated Camping Vest,1.0,1.9,3.4,563,9.1,621,5.8,A
Factory Lab Coat,2.2,4.2,5.9,823,18.9,1161,10.7,C
Athletic Performance Tee,1.1,2.1,3.1,525,11.5,578,5.5,B
Yoga Leggings,1.2,2.3,3.3,536,11.6,678,6.7,B
Lightweight Running Shoes,1.8,1.0,2.3,409,9.2,310,8.1,A
Yoga Leggings,1.3,2.3,3.7,531,12.3,698,6.0,B
Slip-Resistant Clogs,1.4,1.2,2.8,390,10.2,508,8.2,A
Police Patrol Shirt,1.0,1.9,2.4,467,11.2,647,4.9,A
Running Windbreaker,1.3,1.8,2.1,524,8.0,578,5.2,A
Slip-Resistant Clogs,2.0,1.5,3.2,535,17.5,633,11.2,B
Training Tracksuit,2.0,3.7,4.8,902,16.3,970,10.0,B
Yoga Leggings,1.1,2.2,3.9,533,12.1,672,5.9,B
Welding Apron,2.0,3.1,4.1,629,13.0,670,9.0,B
Police Patrol Shirt,1.4,2.8,4.2,619,13.8,766,7.0,B
Steel Toe Boots,4.5,2.9,6.6,835,30.6,955,17.5,D
Training Tracksuit,2.9,5.5,7.8,1133,24.2,1523,14.9,D
Trail Running Shorts,0.7,1.3,2.9,403,5.8,517,4.1,A
Training Tracksuit,2.2,3.8,4.7,836,14.8,942,11.0,B
Police Patrol Shirt,1.5,3.0,4.2,692,13.3,789,8.0,B
Construction Coverall,4.2,6.0,8.7,1160,26.2,1474,16.5,D
Tactical Cargo Pants,1.9,3.4,4.7,788,14.5,963,9.2,B
Police Patrol Shirt,1.0,1.8,3.0,364,11.3,686,6.4,A
Police Patrol Shirt,1.4,2.9,3.8,618,13.3,802,7.1,B
Industrial Work Shirt,1.5,2.9,4.1,548,12.0,668,7.3,B
Mechanic Jumpsuit,2.7,5.0,6.3,909,18.6,1366,13.5,C
Waterproof Parka,3.3,4.9,6.6,1120,22.3,1397,13.7,C
Hiking Shell Jacket,3.3,5.5,7.5,1186,21.7,1563,14.5,D
Chef Coat,1.9,3.9,5.5,866,16.2,1092,9.6,C
Yoga Leggings,1.1,2.1,2.5,458,6.6,457,4.7,A
Running Windbreaker,1.1,1.8,3.1,386,7.8,652,5.4,A
Athletic Performance Tee,1.2,2.0,3.2,491,10.3,594,5.9,B
Paramedic Scrubs,1.3,2.4,4.1,578,12.0,743,7.9,B
Waterproof Hiking Boots,3.0,2.2,4.3,714,25.1,767,14.3,C
Training Tracksuit,3.2,5.4,7.6,1346,23.7,1436,15.0,D
Slip-Resistant Clogs,1.6,1.1,2.0,366,10.9,483,9.4,A
Welding Apron,2.0,3.1,3.7,626,14.7,763,8.3,B
Mechanic Jumpsuit,3.4,6.4,7.1,1237,26.0,1521,16.2,D
Slip-Resistant Clogs,1.8,0.9,2.9,305,10.7,499,8.5,A
Construction Coverall,3.1,5.2,6.5,1031,21.2,1203,14.8,C
Cabin Crew Jacket,1.7,3.6,4.1,750,15.1,906,9.6,B
Welding Apron,1.3,1.8,2.4,444,9.4,548,6.2,A
Trail Running Shorts,1.1,2.2,3.6,489,11.4,565,6.7,B
Mechanic Jumpsuit,3.2,5.9,7.6,1296,24.4,1612,16.6,D
Running Windbreaker,1.4,2.7,3.4,635,14.1,780,7.3,B
Training Tracksuit,3.2,5.3,8.1,1196,22.7,1570,15.5,D
Yoga Leggings,1.0,2.1,2.2,413,6.5,443,4.6,A
Waterproof Hiking Boots,3.8,2.6,5.3,876,30.0,1108,17.7,D
Training Tracksuit,3.0,5.8,7.5,1162,22.5,1602,14.0,D
Industrial Work Shirt,1.3,1.6,2.5,390,10.8,428,4.4,A
Running Windbreaker,1.1,2.4,3.1,444,9.9,667,5.3,A
Insulated Camping Vest,2.1,3.6,5.6,843,19.7,1072,9.8,C
Slip-Resistant Clogs,1.5,1.0,2.7,302,9.1,406,7.9,A
Slip-Resistant Clogs,2.4,1.4,3.7,568,15.3,605,11.3,B
Compression Tights,0.7,2.2,2.1,477,8.0,560,5.8,A
Factory Lab Coat,1.6,3.0,4.5,780,14.9,817,9.2,B
Running Windbreaker,1.7,2.7,3.4,670,12.0,705,7.3,B
Security Guard Blazer,2.0,3.4,5.1,699,17.2,879,9.2,B
Mechanic Jumpsuit,3.5,6.1,8.5,1190,27.0,1645,15.3,D
High-Top Basketball Sneakers,1.7,0.9,2.9,309,10.7,525,7.0,A
Compression Tights,1.0,1.5,2.5,482,9.9,557,5.5,A
Chef Coat,1.6,3.4,4.4,733,15.1,873,7.6,B
Trail Running Shorts,0.7,1.4,2.3,299,8.3,418,5.4,A
Compression Tights,0.8,1.9,3.1,337,9.6,456,5.0,A
High-Top Basketball Sneakers,3.1,1.7,4.1,680,21.8,695,14.7,C
Slip-Resistant Clogs,2.0,1.5,3.2,541,17.2,629,11.2,B
Mechanic Jumpsuit,3.6,5.4,8.1,1226,26.4,1423,16.8,D
High-Top Basketball Sneakers,2.5,1.6,3.4,531,16.9,580,11.1,B
Waterproof Hiking Boots,2.8,1.8,3.4,553,20.4,727,11.5,B
Tactical Cargo Pants,2.0,3.4,4.9,825,16.5,873,10.2,B
Industrial Work Shirt,1.4,2.8,3.8,611,13.3,774,8.3,B
Athletic Performance Tee,1.1,2.1,3.4,443,11.3,620,6.5,B
Steel Toe Boots,4.3,2.9,5.9,842,32.3,1122,19.4,D
Waterproof Parka,4.2,6.2,8.8,1433,29.6,1807,18.8,D
Running Windbreaker,1.5,3.0,3.9,631,13.7,699,6.6,B
Security Guard Blazer,2.2,4.5,5.5,912,18.4,1087,10.6,C
Insulated Camping Vest,1.7,2.9,4.6,807,16.3,820,8.8,B
Construction Coverall,3.3,5.0,6.9,941,20.9,1226,13.7,C
Security Guard Blazer,2.3,4.4,5.8,950,18.9,1259,11.4,C
Lightweight Running Shoes,2.0,1.4,3.4,421,15.2,555,10.7,B
Training Tracksuit,2.5,4.7,6.6,969,21.7,1232,12.9,C
Steel Toe Boots,2.6,1.6,3.7,592,19.2,706,13.2,B
Insulated Camping Vest,2.2,3.6,5.0,821,19.6,959,10.6,C
Hiking Shell Jacket,2.0,3.8,4.4,943,16.3,959,9.9,B
Steel Toe Boots,2.6,1.7,3.9,525,21.1,665,12.2,B
Waterproof Hiking Boots,3.6,2.0,4.7,739,25.2,758,15.7,C
Trail Running Shorts,0.9,2.1,3.6,470,11.0,574,6.3,B
Training Tracksuit,2.6,4.7,5.8,1008,21.4,1292,12.8,C
Waterproof Hiking Boots,3.1,2.0,4.3,743,22.2,861,16.0,C
Cabin Crew Jacket,1.7,3.3,4.4,768,14.2,916,9.9,B
Lightweight Running Shoes,2.2,1.5,3.5,418,15.0,589,10.4,B
Steel Toe Boots,3.5,2.1,5.3,740,23.6,804,15.8,C
High-Top Basketball Sneakers,3.2,1.8,4.0,646,20.7,733,14.7,C
Cabin Crew Jacket,2.4,4.2,5.3,951,20.2,1208,10.5,C
High-Top Basketball Sneakers,3.2,1.7,4.7,675,23.3,812,14.3,C
Industrial Work Shirt,1.5,3.0,4.4,592,10.9,714,7.4,B
Mechanic Jumpsuit,2.8,4.7,6.1,1055,18.8,1290,13.0,C
Paramedic Scrubs,1.4,2.6,4.1,584,13.1,787,7.0,B
Compression Tights,1.2,2.7,3.8,507,12.5,736,6.8,B
Training Tracksuit,3.2,5.2,7.3,1248,27.4,1541,16.0,D
Police Patrol Shirt,1.5,3.1,3.8,661,13.0,763,7.9,B
High-Top Basketball Sneakers,2.4,1.7,3.7,556,17.4,561,12.8,B
Waterproof Hiking Boots,4.1,2.7,6.3,814,30.7,1020,18.4,D
Welding Apron,1.9,3.0,4.0,557,12.2,692,8.6,B
Construction Coverall,3.0,4.7,6.3,1078,20.5,1279,14.9,C
Waterproof Hiking Boots,2.9,1.6,3.9,619,17.7,638,11.0,B
Cabin Crew Jacket,2.4,4.2,5.1,831,18.4,1167,10.8,C
Steel Toe Boots,2.6,1.9,4.0,524,19.8,698,14.4,B
Waterproof Hiking Boots,4.0,2.8,5.8,816,32.6,985,16.9,D
Industrial Work Shirt,1.4,2.8,4.0,612,12.1,769,7.0,B
Security Guard Blazer,2.4,4.8,5.2,967,18.8,1191,12.4,C
Tactical Cargo Pants,1.7,3.2,4.8,714,16.4,873,8.7,B
Waterproof Hiking Boots,2.6,1.9,3.8,599,19.1,603,13.3,B
Construction Coverall,3.3,5.1,7.3,1059,22.6,1377,12.8,C
Slip-Resistant Clogs,3.0,1.6,4.4,590,20.6,765,14.2,C
Waterproof Parka,3.8,6.3,8.0,1316,29.3,1645,16.0,D
Tactical Cargo Pants,2.9,5.1,7.1,1218,22.4,1531,13.1,D
Welding Apron,2.0,3.0,4.0,607,12.7,773,9.0,B
Chef Coat,2.0,3.8,5.0,837,16.2,1082,10.3,C
Cabin Crew Jacket,2.3,4.7,5.2,963,19.5,1172,11.5,C
Waterproof Hiking Boots,4.1,2.3,5.0,886,30.0,1117,18.7,D
Mechanic Jumpsuit,3.0,4.7,6.9,1012,22.0,1346,12.1,C
Paramedic Scrubs,1.3,2.3,4.0,570,10.8,724,6.6,B
Athletic Performance Tee,1.0,2.2,3.2,476,11.0,550,6.9,B
Tactical Cargo Pants,2.5,4.2,6.0,1002,18.4,1220,12.4,C
Cabin Crew Jacket,1.7,3.2,5.0,717,15.3,910,8.6,B
Steel Toe Boots,4.6,2.5,6.0,948,28.5,936,21.5,D
Hiking Shell Jacket,3.3,4.8,7.7,1203,25.5,1623,13.8,D
Steel Toe Boots,3.6,2.4,5.3,766,23.9,820,15.9,C
Cabin Crew Jacket,2.0,4.6,5.6,906,18.6,1162,11.5,C
Security Guard Blazer,2.0,3.7,4.4,837,15.7,991,9.6,B
Waterproof Hiking Boots,2.7,1.8,3.6,548,21.3,732,11.0,B
Paramedic Scrubs,1.4,2.4,4.0,590,11.9,710,6.3,B
Cabin Crew Jacket,2.0,4.1,6.0,829,17.2,1187,11.1,C
Insulated Camping Vest,2.2,3.2,5.0,931,19.0,1135,10.8,C
Training Tracksuit,3.2,6.1,7.4,1336,27.2,1660,15.8,D
Paramedic Scrubs,1.4,2.7,4.3,643,10.9,702,6.7,B
Insulated Camping Vest,1.9,2.8,4.1,786,14.7,924,9.4,B
Training Tracksuit,2.5,4.5,6.2,1083,18.9,1358,12.8,C
Paramedic Scrubs,1.4,2.6,3.8,630,10.8,768,7.4,B
Mechanic Jumpsuit,2.3,3.5,4.8,736,15.1,933,11.2,B
Waterproof Hiking Boots,2.7,1.7,3.8,583,17.8,607,13.1,B
Mechanic Jumpsuit,3.8,5.6,8.5,1155,27.6,1515,15.3,D
Security Guard Blazer,1.8,4.0,4.2,754,14.8,1022,9.0,B
Mechanic Jumpsuit,3.1,4.9,6.6,915,19.5,1213,11.9,C
High-Top Basketball Sneakers,2.6,1.5,3.4,577,18.3,603,11.9,B
Waterproof Hiking Boots,2.6,1.9,3.7,582,20.2,746,13.4,B
Mechanic Jumpsuit,2.8,4.8,6.3,1045,19.7,1231,12.8,C
Construction Coverall,3.5,6.3,8.5,1176,23.7,1755,16.0,D
Insulated Camping Vest,1.8,2.8,4.1,687,16.7,796,8.1,B
Factory Lab Coat,1.7,3.1,4.8,626,13.4,809,7.8,B
Waterproof Hiking Boots,4.5,2.8,5.1,851,28.0,999,17.7,D
Insulated Camping Vest,1.8,2.8,4.7,772,15.0,794,8.7,B
Trail Running Shorts,1.0,2.2,3.1,503,10.5,557,6.8,B
Construction Coverall,3.8,6.4,8.8,1124,28.1,1535,17.1,D
Running Windbreaker,1.6,3.1,3.6,696,12.7,702,7.5,B
Slip-Resistant Clogs,2.4,1.4,3.8,516,15.2,587,11.9,B
Industrial Work Shirt,1.3,2.7,4.1,551,10.9,635,8.4,B
Police Patrol Shirt,1.4,2.9,3.9,595,12.0,715,7.1,B
Running Windbreaker,1.4,2.9,4.2,650,13.8,775,8.3,B
Chef Coat,1.9,4.3,5.0,844,18.4,1121,10.0,C
Lightweight Running Shoes,2.0,1.3,3.6,475,15.9,541,9.7,B
Mechanic Jumpsuit,3.2,5.8,8.4,1242,25.0,1591,17.1,D
Tactical Cargo Pants,2.2,4.7,5.2,922,19.4,1206,12.2,C
Slip-Resistant Clogs,2.8,1.9,4.5,642,19.0,768,14.1,C
Mechanic Jumpsuit,2.9,4.8,6.5,1036,21.7,1273,12.2,C
High-Top Basketball Sneakers,2.6,1.4,3.4,511,15.8,662,11.2,B
Insulated Camping Vest,2.2,3.7,5.7,879,16.9,1105,10.8,C
Tactical Cargo Pants,2.4,4.0,5.3,926,18.7,1074,10.6,C
High-Top Basketball Sneakers,3.1,2.0,4.6,586,20.7,759,14.5,C
Cabin Crew Jacket,1.9,3.3,4.4,674,13.6,845,9.1,B
Compression Tights,1.3,2.7,3.4,513,11.5,613,6.2,B
Steel Toe Boots,4.8,2.9,6.6,914,29.8,1137,20.5,D
Athletic Performance Tee,1.1,2.1,3.8,496,10.3,663,6.5,B
Police Patrol Shirt,1.6,2.8,3.9,578,13.5,704,7.3,B
Chef Coat,2.0,3.7,5.7,842,16.6,1057,9.5,C
Steel Toe Boots,4.4,2.6,5.4,915,32.5,1008,19.4,D
Paramedic Scrubs,1.3,2.8,4.0,616,12.4,819,7.1,B
Cabin Crew Jacket,2.3,4.1,5.3,971,17.7,1046,12.0,C
Cabin Crew Jacket,1.9,3.5,4.3,741,16.7,977,8.7,B
Hiking Shell Jacket,2.7,3.9,5.9,1121,18.9,1261,12.5,C
Construction Coverall,3.9,5.6,8.9,1179,24.6,1467,15.8,D
Cabin Crew Jacket,2.2,4.4,5.1,959,17.0,1140,10.2,C
Chef Coat,1.6,3.1,4.3,616,14.8,818,8.9,B
Security Guard Blazer,2.5,4.7,5.8,942,20.5,1105,11.7,C
Tactical Cargo Pants,2.5,4.1,5.7,1044,17.5,1163,11.8,C
High-Top Basketball Sneakers,2.6,1.6,3.3,538,17.5,601,12.6,B
Police Patrol Shirt,1.5,2.8,4.5,663,13.3,768,8.6,B
Steel Toe Boots,2.9,1.8,3.6,528,21.0,708,14.1,B
High-Top Basketball Sneakers,2.9,1.8,4.1,638,22.7,691,13.8,C
Hiking Shell Jacket,2.5,4.3,5.6,1023,20.7,1158,11.4,C
Tactical Cargo Pants,1.7,3.3,5.1,840,14.7,883,10.3,B
Police Patrol Shirt,1.6,3.1,3.9,641,13.9,850,8.4,B
Tactical Cargo Pants,1.9,3.4,4.2,804,16.7,946,9.9,B
Steel Toe Boots,4.3,2.5,6.0,860,29.9,951,19.2,D
Slip-Resistant Clogs,2.2,1.4,3.8,536,15.9,592,9.6,B
Waterproof Hiking Boots,2.8,1.7,3.7,536,18.2,675,12.0,B
Factory Lab Coat,1.8,3.2,4.6,758,13.4,915,7.6,B
Cabin Crew Jacket,2.2,4.7,5.4,838,17.4,1175,11.4,C
Trail Running Shorts,0.9,2.2,3.0,552,9.6,650,6.1,B
Hiking Shell Jacket,3.2,4.6,6.8,1351,25.8,1517,13.2,D
Industrial Work Shirt,1.6,2.7,4.3,604,11.3,654,7.8,B
Mechanic Jumpsuit,3.1,4.9,6.7,1041,22.2,1310,12.2,C
Lightweight Running Shoes,1.9,1.4,3.0,503,15.7,534,9.9,B
Hiking Shell Jacket,2.5,3.9,5.7,977,18.8,1313,11.1,C
Factory Lab Coat,1.8,3.4,4.7,672,15.3,787,8.6,B
Mechanic Jumpsuit,3.9,6.2,8.5,1110,23.3,1430,15.8,D
High-Top Basketball Sneakers,2.3,1.5,3.7,513,19.0,568,12.4,B
Mechanic Jumpsuit,3.1,4.7,6.9,948,20.8,1208,11.9,C
High-Top Basketball Sneakers,2.7,1.5,3.6,572,19.2,548,12.3,B
Steel Toe Boots,4.0,2.8,5.8,851,32.4,1135,19.9,D
Yoga Leggings,1.3,2.7,3.5,531,11.1,579,7.1,B
Tactical Cargo Pants,2.4,4.6,5.8,1037,19.2,1241,11.8,C
Training Tracksuit,2.9,4.5,5.8,926,21.6,1238,12.4,C
Chef Coat,1.6,3.2,4.2,698,13.5,844,7.5,B
Mechanic Jumpsuit,2.8,4.8,6.4,1007,21.9,1210,12.6,C
Steel Toe Boots,3.9,3.0,5.7,917,34.0,998,20.6,D
Waterproof Parka,4.1,5.8,9.3,1278,29.3,1590,18.6,D
Police Patrol Shirt,1.7,2.8,3.8,576,13.0,868,7.0,B
Industrial Work Shirt,1.5,2.5,4.3,579,11.9,634,7.3,B
Mechanic Jumpsuit,2.9,4.6,6.6,961,21.6,1288,12.5,C
Yoga Leggings,1.2,2.5,3.8,525,11.9,637,7.0,B
Construction Coverall,3.1,4.7,6.4,1030,20.4,1424,14.4,C
Security Guard Blazer,2.8,6.1,6.8,1109,24.7,1323,13.6,D
Tactical Cargo Pants,2.1,3.7,4.8,822,17.1,862,9.3,B
Cabin Crew Jacket,2.1,4.6,5.4,837,17.2,1146,11.7,C
Running Windbreaker,1.5,2.9,3.7,602,12.2,735,8.0,B
Waterproof Hiking Boots,2.9,1.6,3.4,508,21.7,709,12.2,B
Security Guard Blazer,2.0,3.9,4.2,803,14.8,899,10.2,B
Factory Lab Coat,1.7,3.1,4.5,682,14.9,849,8.9,B
Hiking Shell Jacket,2.7,4.4,5.7,1106,21.2,1187,12.7,C
Waterproof Hiking Boots,4.5,2.3,5.7,910,27.9,944,18.3,D
Mechanic Jumpsuit,3.1,4.5,7.0,1031,19.6,1159,13.1,C
Trail Running Shorts,1.0,2.2,3.2,560,10.9,622,6.7,B
Construction Coverall,2.9,5.0,7.0,1022,23.3,1433,14.4,C
Running Windbreaker,1.6,2.6,3.9,672,13.8,727,6.8,B
Tactical Cargo Pants,2.3,4.2,5.4,980,19.2,1239,11.7,C
Slip-Resistant Clogs,2.0,1.5,3.3,564,14.7,542,11.4,B
Slip-Resistant Clogs,2.3,1.6,3.7,492,17.9,627,9.7,B
Compression Tights,1.0,2.7,3.9,558,11.7,733,7.0,B
Chef Coat,2.0,3.7,5.6,843,16.9,984,10.0,C
Waterproof Hiking Boots,2.6,1.6,3.9,550,20.5,715,12.2,B
Hiking Shell Jacket,2.9,5.6,7.9,1343,24.3,1369,14.0,D
High-Top Basketball Sneakers,2.3,1.7,3.4,518,16.0,555,11.7,B
Police Patrol Shirt,1.4,2.9,4.4,618,13.2,806,7.2,B
Yoga Leggings,1.3,2.3,3.3,482,11.8,657,6.8,B
Factory Lab Coat,1.7,3.4,4.6,762,13.0,899,7.4,B
Insulated Camping Vest,2.2,3.3,5.7,842,17.4,1040,10.1,C
Hiking Shell Jacket,1.9,3.1,5.0,839,14.6,1022,9.3,B
Police Patrol Shirt,1.5,3.1,3.8,589,11.6,772,8.4,B
Compression Tights,1.1,2.6,3.3,580,10.4,674,7.0,B
Training Tracksuit,3.5,5.5,7.2,1359,26.6,1712,15.6,D
Steel Toe Boots,3.3,2.0,4.5,688,26.4,874,14.6,C
Mechanic Jumpsuit,3.1,5.5,7.2,1103,24.8,1421,16.0,D
Steel Toe Boots,4.2,2.7,5.8,883,33.5,1068,17.4,D
Security Guard Blazer,2.4,4.1,6.0,998,19.1,1193,11.1,C
Insulated Camping Vest,2.2,3.7,5.4,977,17.2,1033,10.8,C
Tactical Cargo Pants,2.9,5.2,6.5,1193,24.3,1534,14.5,D
Waterproof Hiking Boots,2.6,1.7,3.4,516,18.5,629,11.8,B
Tactical Cargo Pants,3.0,5.1,7.7,1204,23.7,1565,13.7,D
Construction Coverall,3.9,5.7,8.2,1260,27.8,1661,17.4,D
Security Guard Blazer,2.4,4.8,5.9,924,18.9,1101,11.7,C
Slip-Resistant Clogs,2.6,1.9,4.5,683,21.7,717,12.9,C
High-Top Basketball Sneakers,3.0,2.0,4.7,691,21.0,729,14.1,C
Tactical Cargo Pants,2.9,5.5,6.7,1277,25.0,1332,14.5,D
Industrial Work Shirt,1.5,2.9,4.3,547,11.3,732,7.0,B
Tactical Cargo Pants,2.4,4.2,6.2,959,18.8,1220,11.5,C
Tactical Cargo Pants,2.8,5.6,7.3,1318,24.5,1428,15.5,D
High-Top Basketball Sneakers,2.5,1.6,3.6,478,19.5,604,12.1,B
Waterproof Parka,3.7,6.7,8.0,1374,26.2,1709,16.1,D
Mechanic Jumpsuit,3.8,5.3,8.7,1071,22.5,1461,15.1,D
Paramedic Scrubs,1.4,2.3,4.3,655,11.6,677,7.3,B
Industrial Work Shirt,1.5,2.4,3.8,526,11.5,698,8.0,B
Athletic Performance Tee,1.0,2.0,3.6,497,11.9,613,5.8,B
Slip-Resistant Clogs,2.1,1.4,3.1,491,18.0,630,11.7,B
Training Tracksuit,3.2,5.8,8.2,1113,27.2,1632,13.6,D
Hiking Shell Jacket,2.8,5.1,7.3,1212,23.6,1392,16.1,D
Yoga Leggings,1.3,2.3,3.4,466,10.6,613,6.5,B
Security Guard Blazer,2.2,4.4,5.6,915,18.7,1107,11.8,C
Hiking Shell Jacket,3.0,5.0,7.1,1403,22.4,1362,13.9,D
Tactical Cargo Pants,3.0,5.4,6.4,1273,21.7,1561,14.1,D
Chef Coat,1.5,3.4,4.1,661,14.0,887,8.5,B
Insulated Camping Vest,2.2,3.3,4.9,924,18.9,1099,9.7,C
Steel Toe Boots,4.8,2.9,5.9,906,30.4,1008,19.0,D
Security Guard Blazer,1.9,3.4,4.5,678,17.0,1047,9.8,B
Factory Lab Coat,2.2,4.4,5.7,839,18.6,1113,10.8,C
Training Tracksuit,3.3,6.2,7.4,1202,27.1,1624,16.2,D
Police Patrol Shirt,1.7,3.0,4.1,698,12.7,747,7.7,B
High-Top Basketball Sneakers,2.7,1.7,4.2,655,23.1,765,15.2,C
Security Guard Blazer,1.8,3.9,5.2,766,17.3,882,9.6,B
Steel Toe Boots,2.6,1.7,4.3,583,22.2,724,12.1,B
Insulated Camping Vest,1.9,3.7,4.9,912,19.3,964,10.9,C
Security Guard Blazer,2.9,5.2,7.3,1223,22.4,1522,15.1,D
Compression Tights,1.2,2.3,4.0,515,12.6,735,6.4,B
Tactical Cargo Pants,1.9,3.2,4.4,768,15.2,996,9.4,B
Hiking Shell Jacket,2.3,3.2,5.0,911,14.8,966,9.2,B
Athletic Performance Tee,1.0,2.1,3.2,548,9.6,657,6.2,B
Tactical Cargo Pants,2.4,4.0,5.6,915,18.3,1093,11.0,C
Chef Coat,1.6,3.3,4.7,732,13.5,928,7.5,B
Waterproof Parka,3.6,5.9,9.3,1564,29.9,1820,15.9,D
Factory Lab Coat,2.2,3.8,6.0,925,18.5,1046,10.3,C
Yoga Leggings,1.4,2.4,3.6,516,11.2,649,6.1,B
Hiking Shell Jacket,2.5,4.0,6.0,1138,19.8,1251,12.2,C
Chef Coat,1.5,3.6,4.7,625,14.1,823,7.6,B
Factory Lab Coat,1.6,3.2,4.3,776,13.5,917,8.9,B
Paramedic Scrubs,1.4,2.4,4.2,606,11.3,757,6.7,B
Athletic Performance Tee,1.1,2.3,3.8,541,11.4,591,6.6,B
Cabin Crew Jacket,2.4,4.8,5.3,967,19.4,1076,11.9,C
Welding Apron,2.6,4.0,4.9,770,16.5,887,11.6,C
Training Tracksuit,3.0,5.7,8.2,1263,23.3,1414,15.3,D
Factory Lab Coat,2.3,4.4,5.8,919,19.1,981,10.6,C
Waterproof Parka,4.1,6.9,8.0,1450,32.1,1673,17.6,D
Tactical Cargo Pants,3.0,4.7,7.7,1236,23.4,1310,14.1,D
Lightweight Running Shoes,2.1,1.4,3.2,447,16.8,557,9.7,B
Yoga Leggings,1.2,2.2,3.6,526,10.7,584,6.6,B
Waterproof Hiking Boots,3.4,2.2,5.0,723,22.9,815,14.2,C
Waterproof Hiking Boots,3.1,2.1,4.4,628,24.4,830,15.1,C
Steel Toe Boots,4.0,2.6,6.2,839,32.5,1103,19.6,D
Tactical Cargo Pants,1.7,3.4,4.6,820,14.0,924,10.3,B
Athletic Performance Tee,1.1,2.3,3.1,479,10.8,647,5.6,B
Compression Tights,1.2,2.4,4.0,602,10.6,723,6.8,B
High-Top Basketball Sneakers,2.8,1.8,4.0,645,19.8,749,13.7,C
Security Guard Blazer,2.6,5.4,6.9,1251,24.3,1355,14.3,D
Tactical Cargo Pants,1.8,3.2,5.1,774,16.0,882,8.5,B
Steel Toe Boots,3.7,2.3,5.2,710,27.3,884,16.0,C
High-Top Basketball Sneakers,2.8,1.8,4.1,609,20.6,726,15.1,C
Hiking Shell Jacket,2.7,4.0,6.1,1067,20.0,1184,12.3,C
Hiking Shell Jacket,1.9,3.2,5.1,762,17.7,920,9.6,B
Tactical Cargo Pants,2.2,4.5,5.3,973,18.6,1252,10.8,C
Waterproof Parka,3.8,6.1,9.0,1396,28.1,1712,17.4,D
Steel Toe Boots,3.6,2.3,4.8,655,26.4,803,15.0,C
Tactical Cargo Pants,3.0,5.5,7.0,1218,24.4,1435,12.8,D
Tactical Cargo Pants,2.0,3.8,4.6,792,14.1,879,8.7,B
Lightweight Running Shoes,2.0,1.3,3.4,435,14.0,506,10.8,B
Security Guard Blazer,2.9,5.0,7.5,1250,25.5,1452,13.5,D
Athletic Performance Tee,1.1,2.1,3.7,546,10.3,637,5.8,B
Cabin Crew Jacket,2.0,4.1,5.0,985,19.3,1188,10.8,C
Police Patrol Shirt,1.4,2.6,4.3,583,12.4,769,8.5,B
Mechanic Jumpsuit,3.2,6.2,7.8,1200,24.8,1524,15.6,D
Construction Coverall,3.0,5.3,6.7,1053,19.7,1204,12.8,C
Steel Toe Boots,3.8,2.6,6.0,949,30.5,976,18.6,D
Hiking Shell Jacket,2.6,4.0,5.8,1008,18.1,1208,12.8,C
Tactical Cargo Pants,2.2,4.2,5.4,992,19.4,1242,11.9,C
Security Guard Blazer,2.1,4.9,5.7,871,20.1,1159,10.3,C
Lightweight Running Shoes,2.0,1.3,3.6,475,14.1,554,11.1,B
Industrial Work Shirt,1.5,2.7,4.4,618,12.4,673,8.4,B
High-Top Basketball Sneakers,3.0,2.0,4.2,677,21.2,715,14.5,C
Chef Coat,1.8,3.3,4.8,688,15.8,915,8.9,B
Lightweight Running Shoes,2.3,1.3,3.4,457,15.6,562,9.0,B
Police Patrol Shirt,1.6,2.6,3.8,663,12.2,865,7.9,B
Cabin Crew Jacket,2.0,3.2,4.4,695,14.1,898,9.3,B
Cabin Crew Jacket,2.3,4.6,5.1,950,19.3,1209,11.7,C
Welding Apron,2.5,4.0,4.3,758,17.6,838,11.5,C
High-Top Basketball Sneakers,2.2,1.7,3.3,524,18.3,656,10.9,B
Steel Toe Boots,4.2,2.8,5.7,786,31.0,1022,20.6,D
Training Tracksuit,3.5,5.5,6.9,1343,25.9,1547,14.8,D
Tactical Cargo Pants,1.9,3.4,4.7,833,16.3,983,9.8,B
Construction Coverall,3.8,5.6,8.1,1298,25.7,1471,17.7,D
Hiking Shell Jacket,2.6,4.2,5.8,952,19.2,1189,10.9,C
Tactical Cargo Pants,2.3,4.1,5.2,1045,18.8,1059,10.9,C
